DB Accession Number,ATC Codes,DB SMILES,Neutralized SMILES
CHEMBL1222250,B05CX; C05BB,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
CHEMBL1906890,C01BA,CC[C@H]1CN2CCC1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,CC[C@H]1CN2CCC1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12
CHEMBL506871,L01XK,C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
CHEMBL4297109,R03BB,CC[N+]1(C)[C@@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12.[Br-],CC[N+]1(C)[C@@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12
CHEMBL2104708,C01EB,C[N+](C)(C)NCCC(=O)[O-],C[N+](C)(C)NCCC(=O)[O-]
CHEMBL1577,C03AA,CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O,CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O
CHEMBL3707245,S01EX,O=C(O)CNc1cccc(CN(Cc2ccc(-n3cccn3)cc2)S(=O)(=O)c2cccnc2)n1,O=C(O)CNc1cccc(CN(Cc2ccc(-n3cccn3)cc2)S(=O)(=O)c2cccnc2)n1
CHEMBL1454946,P02CA,COC(=O)Nc1nc2cc(C(=O)c3ccc(F)cc3)ccc2[nH]1,COC(=O)Nc1nc2cc(C(=O)c3ccc(F)cc3)ccc2[nH]1
CHEMBL2106071,J01AA,CN(C)[C@@H]1C(O)=C(C(=O)NCO)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12,CN(C)[C@@H]1C(O)=C(C(=O)NCO)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12
CHEMBL358040,C01CA,NCC(O)c1cccc(O)c1,NCC(O)c1cccc(O)c1
CHEMBL28318,N02BB,Cc1c(C(C)C)c(=O)n(-c2ccccc2)n1C,Cc1c(C(C)C)c(=O)n(-c2ccccc2)n1C
CHEMBL313302,L01AC,O=C1C=C(N2CC2)C(=O)C(N2CC2)=C1N1CC1,O=C1C=C(N2CC2)C(=O)C(N2CC2)=C1N1CC1
CHEMBL1289779,N05BA,CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl,CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl
CHEMBL307739,C01CA; S01FB,CNCCc1ccc(OC(=O)C(C)C)c(OC(=O)C(C)C)c1,CNCCc1ccc(OC(=O)C(C)C)c(OC(=O)C(C)C)c1
CHEMBL1229908,R07AB,CCN(CC)C(=O)c1ccc(O)c(OC)c1,CCN(CC)C(=O)c1ccc(O)c(OC)c1
CHEMBL507419,A10BB,Cc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1N,Cc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1N
